Date,Open,High,Low,Close,Adj Close,Volume
2019-10-28,136.000000,136.630005,135.449997,135.970001,134.382797,3225700
2019-10-29,135.419998,135.570007,133.440002,133.820007,132.257904,4160700
2019-10-30,133.830002,135.279999,133.199997,135.250000,133.671204,2252700
2019-10-31,135.110001,135.250000,133.229996,133.729996,132.168945,3412100
2019-11-01,134.500000,135.559998,134.089996,135.529999,133.947937,3089800
2019-11-04,136.240005,137.740005,136.229996,137.669998,136.062958,3335400
2019-11-05,137.800003,138.759995,137.630005,137.889999,136.280396,3015000
2019-11-06,138.000000,138.779999,137.550003,138.779999,137.160004,4477300
2019-11-07,137.869995,139.139999,137.580002,137.690002,137.690002,4073800
2019-11-08,137.580002,137.610001,136.160004,137.610001,137.610001,2278400
2019-11-11,137.199997,137.199997,135.000000,135.470001,135.470001,2568000
2019-11-12,135.869995,136.660004,135.020004,135.589996,135.589996,3046500
2019-11-13,135.389999,135.580002,133.850006,134.479996,134.479996,2918400
2019-11-14,134.130005,134.330002,133.330002,134.000000,134.000000,4231300
2019-11-15,134.389999,135.119995,134.029999,134.399994,134.399994,3262500
2019-11-18,134.300003,134.479996,133.229996,134.309998,134.309998,3210400
2019-11-19,134.880005,135.380005,134.460007,134.520004,134.520004,2995000
2019-11-20,134.059998,134.460007,132.750000,133.199997,133.199997,4138200
2019-11-21,133.399994,134.169998,132.979996,133.839996,133.839996,3345300
2019-11-22,134.190002,134.649994,133.589996,134.339996,134.339996,3297500
2019-11-25,134.470001,136.000000,134.350006,135.970001,135.970001,2590100
2019-11-26,136.149994,136.149994,134.770004,135.089996,135.089996,3793200
2019-11-27,135.350006,135.710007,133.619995,133.770004,133.770004,3280900
2019-11-29,133.600006,134.520004,133.029999,134.449997,134.449997,1825300
2019-12-02,134.449997,134.500000,132.479996,132.910004,132.910004,3067100
2019-12-03,132.000000,132.440002,130.690002,132.119995,132.119995,3642500
2019-12-04,132.860001,133.679993,131.960007,131.990005,131.990005,3530000
2019-12-05,132.990005,133.240005,131.630005,131.910004,131.910004,3595400
2019-12-06,132.750000,133.889999,132.699997,133.220001,133.220001,3437994
